id,timestamp,aqi,pm2_5,pm10,co,no2,o3,so2,hour,day,weekday,anomaly
62,2026-07-22 21:03:45,3,27.65,30.71,400.77,10.9,62.05,5.97,21,22,Wednesday,1
63,2026-07-22 21:24:21,3,29.16,32.51,411.87,10.77,59.9,6.01,21,22,Wednesday,1
64,2026-07-22 22:03:49,3,29.16,32.51,411.87,10.77,59.9,6.01,22,22,Wednesday,1
65,2026-07-22 22:24:19,3,29.16,32.51,411.87,10.77,59.9,6.01,22,22,Wednesday,1
66,2026-07-22 23:03:44,3,30.99,34.68,422.88,10.7,58.21,6.11,23,22,Wednesday,1
67,2026-07-23 12:03:48,2,14.65,16.68,474.9,13.08,35.9,5.91,12,23,Thursday,1
68,2026-07-23 14:03:48,2,21.19,22.92,511.46,12.93,43.03,5.73,14,23,Thursday,1
69,2026-07-23 15:03:44,3,27.87,29.55,523.07,12.6,51.52,5.72,15,23,Thursday,1
70,2026-07-23 16:03:47,3,37.31,39.14,538.14,12.8,63.75,5.81,16,23,Thursday,1
71,2026-07-23 17:03:45,3,45.09,47.23,559.77,14.14,71.77,6.11,17,23,Thursday,1
72,2026-07-23 18:03:49,3,49.84,52.36,584.51,16.23,74.68,6.4,18,23,Thursday,1
73,2026-07-23 19:03:44,4,52.55,55.58,608.63,17.74,74.69,6.8,19,23,Thursday,1
74,2026-07-23 20:03:44,3,49.7,54.16,581.31,14.15,78.84,7.33,20,23,Thursday,1
75,2026-07-23 21:03:44,4,57.26,62.82,648.96,15.5,74.47,8.19,21,23,Thursday,1
76,2026-07-23 22:03:45,4,64.24,69.99,696.83,15.84,71.41,8.27,22,23,Thursday,1
77,2026-07-24 12:03:48,3,36.1,38.71,665.01,15.12,36.62,6.33,12,24,Friday,1
78,2026-07-24 18:36:09,3,34.04,37.66,663.44,21.65,32.36,6.57,18,24,Friday,1
79,2026-07-24 19:03:47,3,34.04,37.66,663.44,21.65,32.36,6.57,19,24,Friday,1
80,2026-07-24 19:36:07,3,45.38,55.79,932.43,26.94,15.0,9.52,19,24,Friday,1
81,2026-07-24 20:03:43,3,45.38,55.79,932.43,26.94,15.0,9.52,20,24,Friday,1
82,2026-07-24 20:36:03,3,49.09,59.84,965.16,26.8,13.67,9.33,20,24,Friday,1
83,2026-07-24 21:03:43,3,49.09,59.84,965.16,26.8,13.67,9.33,21,24,Friday,1
84,2026-07-24 21:47:11,4,51.85,62.88,973.6,26.52,12.31,8.45,21,24,Friday,1
85,2026-07-24 22:03:44,4,51.85,62.88,973.6,26.52,12.31,8.45,22,24,Friday,1
86,2026-07-24 22:36:04,4,54.4,65.98,987.23,26.69,11.09,7.87,22,24,Friday,1
87,2026-07-25 12:03:49,3,38.07,40.22,374.56,2.93,105.07,3.86,12,25,Saturday,1
88,2026-07-25 15:03:47,3,28.31,29.83,262.58,1.89,108.98,3.05,15,25,Saturday,-1
89,2026-07-25 16:03:44,3,27.11,29.21,285.34,3.49,99.32,3.53,16,25,Saturday,1
90,2026-07-25 22:03:48,4,60.04,78.18,990.94,29.42,14.22,6.45,22,25,Saturday,-1
91,2026-07-26 11:03:48,4,67.69,72.99,617.2,7.32,90.47,7.19,11,26,Sunday,1
92,2026-07-26 12:03:43,5,80.59,85.35,575.99,4.89,113.92,6.99,12,26,Sunday,-1
93,2026-07-26 13:03:44,4,67.71,71.15,455.32,3.03,117.77,5.46,13,26,Sunday,1
94,2026-07-26 14:03:49,3,47.4,49.83,355.99,2.56,106.54,4.1,14,26,Sunday,1
95,2026-07-26 15:11:22,3,36.93,38.94,317.45,2.73,99.72,3.75,15,26,Sunday,1
96,2026-07-26 16:03:44,3,32.3,34.32,313.91,3.62,94.49,3.85,16,26,Sunday,1
97,2026-07-26 16:11:05,3,32.3,34.32,313.91,3.62,94.49,3.85,16,26,Sunday,1
98,2026-07-26 17:03:44,3,32.19,34.6,338.81,5.62,88.31,4.4,17,26,Sunday,1
99,2026-07-26 17:11:04,3,32.19,34.6,338.81,5.62,88.31,4.4,17,26,Sunday,1
100,2026-07-26 20:03:48,3,46.2,52.94,500.3,12.36,76.12,5.67,20,26,Sunday,1
101,2026-07-26 21:03:44,4,52.86,62.24,613.01,15.96,61.42,6.3,21,26,Sunday,1
102,2026-07-26 22:03:44,4,58.37,69.55,701.08,18.31,50.18,6.56,22,26,Sunday,1
103,2026-07-27 09:03:49,3,40.74,44.68,665.52,15.13,33.74,6.24,9,27,Monday,1
104,2026-07-27 11:03:48,3,28.43,31.85,558.48,14.24,40.88,6.33,11,27,Monday,1
105,2026-07-27 16:02:38,3,32.05,37.41,614.97,14.25,51.08,6.67,16,27,Monday,1
106,2026-07-27 16:03:43,3,32.05,37.41,614.97,14.25,51.08,6.67,16,27,Monday,1
107,2026-07-27 18:03:48,3,32.75,37.04,571.49,14.24,60.03,6.49,18,27,Monday,1
108,2026-07-27 19:03:50,4,50.63,57.18,624.17,14.24,75.26,6.72,19,27,Monday,1
109,2026-07-27 20:03:44,4,57.55,68.58,774.4,19.11,52.0,7.18,20,27,Monday,1
110,2026-07-27 21:03:44,4,64.93,80.08,914.21,22.8,36.82,7.53,21,27,Monday,1
111,2026-07-27 22:03:49,4,70.96,88.72,1019.2,25.02,27.21,7.69,22,27,Monday,1
112,2026-07-27 23:03:44,5,75.9,94.68,1093.89,25.71,21.69,7.55,23,27,Monday,-1
